,Neighborhood,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
0,Etobicoke West Mall,Centennial Park,43.65615376,-79.58753989,Park
1,Etobicoke West Mall,Tim Hortons,43.644742,-79.5676805,Coffee Shop
2,Etobicoke West Mall,The Beer Store,43.6413126,-79.5769248,Beer Store
3,Etobicoke West Mall,Porta Via,43.6634489,-79.58963815,Sandwich Place
4,Etobicoke West Mall,Best for Bride,43.6357672,-79.5399161,Women's Store
5,Etobicoke West Mall,Mrakovic,43.66664097,-79.57885008,Eastern European Restaurant
6,Etobicoke West Mall,Montreal Deli,43.62382599,-79.5691648,Deli / Bodega
7,Etobicoke West Mall,Starbucks,43.641312,-79.576924,Coffee Shop
8,Etobicoke West Mall,South-Western Bathhouse,43.62553859,-79.56600339,Spa
9,Etobicoke West Mall,Subway,43.6345771,-79.56223447,Sandwich Place
10,Etobicoke West Mall,Taste of Thailand Cuisine,43.63592844,-79.54078546,Thai Restaurant
11,Etobicoke West Mall,Bravo Bistro,43.65941976,-79.60360422,Eastern European Restaurant
12,Etobicoke West Mall,Home Run Sports GTA,43.62056203,-79.57209669,Sporting Goods Shop
13,Etobicoke West Mall,TD Canada Trust,43.6455017,-79.56000646,Bank
14,Etobicoke West Mall,Loblaws,43.643848,-79.560113,Grocery Store
15,Etobicoke West Mall,Yellow Cup Cafe,43.63174417,-79.55222983,Café
16,Etobicoke West Mall,Sail,43.61991899,-79.55721247,Sporting Goods Shop
17,Etobicoke West Mall,Subway,43.65314773,-79.57311488,Sandwich Place
18,Etobicoke West Mall,LCBO,43.63143248,-79.55390435,Liquor Store
19,Etobicoke West Mall,McNies Fish and Chips,43.64534093,-79.54841516,Fish & Chips Shop
20,Etobicoke West Mall,LCBO,43.64209869,-79.57659156,Liquor Store
21,Etobicoke West Mall,GoodLife Fitness,43.63738689,-79.55792111,Gym / Fitness Center
22,Etobicoke West Mall,Boulderz Climbing Centre,43.618927,-79.550186,Climbing Gym
23,Etobicoke West Mall,Michaels,43.61952984,-79.55797255,Arts & Crafts Store
24,Etobicoke West Mall,Sheridan Nurseries,43.63777778,-79.5869082,Flower Shop
25,Etobicoke West Mall,Etobicoke Olympium,43.65015536,-79.58392255,College Rec Center
26,Etobicoke West Mall,TD Canada Trust,43.6312506,-79.5758693,Bank
27,Etobicoke West Mall,Anatolia Restaurant,43.64459569,-79.5328097,Turkish Restaurant
28,Etobicoke West Mall,Petro-Canada,43.63919958,-79.58374321,Gas Station
29,Etobicoke West Mall,Bake Sale,43.64034359,-79.53797024,Cupcake Shop
30,Etobicoke West Mall,St. James's Gate Irish Pub,43.64380478,-79.53348383,Pub
31,Etobicoke West Mall,Subway,43.63133195,-79.55458502,Sandwich Place
32,Etobicoke West Mall,Astoria Shish Kebob House,43.621795,-79.57054,Greek Restaurant
33,Etobicoke West Mall,Dimpflmeier Factory,43.63377341,-79.52989472,Bakery
34,Etobicoke West Mall,Best Western Plus Travel Hotel Toronto Airport,43.653043,-79.6005931,Hotel
35,Etobicoke West Mall,Starbucks,43.635158,-79.563373,Coffee Shop
36,Etobicoke West Mall,Dairy Queen,43.63331412,-79.54214685,Ice Cream Shop
37,Etobicoke West Mall,Longo's,43.63607296,-79.59564814,Grocery Store
38,Etobicoke West Mall,Shoppers Drug Mart,43.641312,-79.576924,Pharmacy
39,Etobicoke West Mall,Palmyra,43.64888818,-79.60543377,Mediterranean Restaurant
40,Etobicoke West Mall,Hampton Inn by Hilton,43.6518272,-79.6011217,Hotel
41,Etobicoke West Mall,TownePlace Suites Mississauga-Airport Corporate Centre,43.6561641,-79.5998258,Hotel
42,Etobicoke West Mall,Prince Japanese Steakhouse,43.64895194,-79.60505231,Japanese Restaurant
43,Etobicoke West Mall,The Captain's Boil,43.615532,-79.55898,Seafood Restaurant
44,Etobicoke West Mall,Chaska Indian Street Food Obsession,43.655242,-79.606706,Indian Restaurant
45,Etobicoke West Mall,Plaka Restaurant,43.65941886,-79.60164692,Greek Restaurant
46,Etobicoke West Mall,Mekong River Restaurant,43.63264296,-79.54418447,Vietnamese Restaurant
47,Etobicoke West Mall,Toji Sushi,43.64504527,-79.53220459,Sushi Restaurant
48,Etobicoke West Mall,TD Canada Trust,43.6411328,-79.5401003,Bank
49,Etobicoke West Mall,Fat Bastard Burritos,43.62410764,-79.60233742,Burrito Place
50,Alderwood,Home2 Suites by Hilton,48.78673898,-122.5073004,Hotel
51,Alderwood,Menchie's,48.789269,-122.51295,Frozen Yogurt Shop
52,Alderwood,Mykonos Greek Restaurant,48.79011943,-122.5215622,Mediterranean Restaurant
53,Alderwood,Papa Murphy's,48.78872744,-122.512381,Pizza Place
54,Alderwood,Fred Meyer,48.7888911,-122.511794,Supermarket
55,Alderwood,Community Food Co-op,48.7915851,-122.4922867,Grocery Store
56,Alderwood,Costco,48.79186182,-122.5150762,Warehouse Store
57,Alderwood,Elizabeth Station,48.75745416,-122.4906849,Beer Garden
58,Alderwood,Hotel Bellwether,48.75410875,-122.4968861,Hotel
59,Alderwood,Mi Mexico,48.78408233,-122.4838396,Mexican Restaurant
60,Alderwood,La Gloria Market,48.79119097,-122.4854477,Mexican Restaurant
61,Alderwood,Great Clips,48.7888259,-122.5122914,Salon / Barbershop
62,Alderwood,Kuru Kuru Sushi,48.75434489,-122.4965042,Sushi Restaurant
63,Alderwood,Redbox,48.78860855,-122.5120468,Video Store
64,Alderwood,T-Mobile,48.78939414,-122.5132066,Mobile Phone Shop
65,Alderwood,Verizon,48.78585946,-122.4899699,Mobile Phone Shop
66,Alderwood,Cornwall Park,48.77389679,-122.4810791,Park
67,Alderwood,Enterprise Rent-A-Car (Budget Car Rental),48.79532333,-122.532503,Rental Car Location
68,Alderwood,Auntie Anne's,48.785994,-122.49089,Snack Place
69,Alderwood,Sandwich Odyssey,48.7568885,-122.4754676,Sandwich Place
70,Alderwood,Victoria's Secret PINK,48.78569117,-122.4902725,Lingerie Store
71,Alderwood,Anthony's,48.75618522,-122.494619,Seafood Restaurant
72,Alderwood,Gandolfo's New York Deli,48.80094944,-122.4847356,Deli / Bodega
73,Alderwood,Mount Baker Theatre,48.75241831,-122.4777574,Performing Arts Venue
74,Alderwood,The Black Drop Coffeehouse,48.75187873,-122.479771,Coffee Shop
75,Alderwood,Soy House,48.79004809,-122.4949054,Vietnamese Restaurant
76,Alderwood,Bath & Body Works,48.785994,-122.49089,Cosmetics Shop
77,Alderwood,Wander Brewing,48.75428725,-122.4739467,Brewery
78,Alderwood,Redbox,48.774014,-122.495871,Video Store
79,Alderwood,Mallard,48.74982835,-122.4774237,Ice Cream Shop
80,Alderwood,See's Candies,48.78426301,-122.4875429,Candy Store
81,Alderwood,Finish Line,48.785994,-122.49089,Shoe Store
82,Alderwood,Victoria's Secret,48.78565831,-122.4902486,Lingerie Store
83,Alderwood,Kay Jewelers,48.78572902,-122.4904829,Jewelry Store
84,Alderwood,Homeskillet,48.75800234,-122.4680817,American Restaurant
85,Alderwood,GNC,48.785994,-122.49089,Supplement Shop
86,Alderwood,Carter's,48.782642,-122.485886,Kids Store
87,Alderwood,Fiamma Burger,48.74950707,-122.4778406,Burger Joint
88,Alderwood,Camber,48.75101639,-122.4811846,Coffee Shop
89,Alderwood,Elizabeth Park,48.75979879,-122.4903942,Park
90,Alderwood,Wendy’s,48.79967859,-122.4866152,Fast Food Restaurant
91,Alderwood,T-Mobile,48.78597,-122.48969,Mobile Phone Shop
92,Alderwood,Whatcom Family YMCA,48.7483184,-122.4771023,Gym
93,Alderwood,Champs Sports,48.7853913,-122.4920266,Sporting Goods Shop
94,Alderwood,Everyday Music,48.75045235,-122.4766344,Record Shop
95,Alderwood,Old World Deli,48.74787793,-122.4778214,Sandwich Place
96,Alderwood,The Children's Place,48.78588799,-122.4898657,Kids Store
97,Alderwood,Anthony's Hearthfire Grill,48.75479269,-122.4973429,Steakhouse
98,Alderwood,Cafe Rumba,48.74705375,-122.4790549,Peruvian Restaurant
99,Alderwood,Aéropostale,48.785994,-122.49089,Clothing Store
100,Long Branch,Ada's Latin Flavor Dominican Cuisine,40.30412241,-73.99104736,Spanish Restaurant
101,Long Branch,Por Do Sol,40.30408202,-73.99044449,Sports Bar
102,Long Branch,Family Dollar,40.304199,-73.986792,Discount Store
103,Long Branch,Galindo's Kitchen,40.30446625,-73.99093628,Mexican Restaurant
104,Long Branch,Crown Fried Chicken,40.304014,-73.988435,Fried Chicken Joint
105,University,Square Books,34.36594406,-89.51892669,Bookstore
106,University,City Grocery,34.36608391,-89.51937062,Gastropub
107,University,Ajax Diner,34.36666718,-89.51941432,Southern / Soul Food Restaurant
108,University,Big Bad Breakfast,34.37501798,-89.51623606,Breakfast Spot
109,University,Snackbar,34.37490129,-89.51614536,French Restaurant
110,University,Bottletree Bakery,34.36638579,-89.52074072,Bakery
111,University,Newk's Express Cafe,34.3643538,-89.51783621,Sandwich Place
112,University,Proud Larry's,34.36567156,-89.51875928,Music Venue
113,University,Handy Andy's,34.37411625,-89.51488495,BBQ Joint
114,University,The Growler,34.36765642,-89.51881733,Pub
115,University,Round Table,34.36635344,-89.51971341,Pizza Place
116,University,Volta Taverna,34.37333416,-89.51664765,Greek Restaurant
117,University,Ya-Ya's Frozen Yogurt,34.36688096,-89.51871721,Frozen Yogurt Shop
118,University,Off Square Books,34.36583418,-89.51834013,Bookstore
119,University,Rowan Oak,34.35973294,-89.52473197,Historic Site
120,University,Oxford Square,34.36639148,-89.51912017,Plaza
121,University,Oby's,34.36297537,-89.5081536,Cajun / Creole Restaurant
122,University,Starbucks,34.36474893,-89.55380015,Coffee Shop
123,University,Rafters,34.366785,-89.520159,Bar
124,University,Phillips Grocery,34.34644589,-89.52145208,Southern / Soul Food Restaurant
125,University,Rice & Spice Thai Kitchen,34.36607794,-89.55103282,Thai Restaurant
126,University,Firehouse Subs,34.367226,-89.550595,Sandwich Place
127,University,Bouré,34.3670961,-89.519123,Cajun / Creole Restaurant
128,University,Moe's Original Bbq,34.365134,-89.518875,BBQ Joint
129,University,South Depot Taco Shop,34.36606876,-89.52022916,Taco Place
130,University,Chick-fil-A,34.366859,-89.534453,Fast Food Restaurant
131,University,The Inn At Ole Miss,34.36689321,-89.52978652,Hotel
132,University,Funky's,34.36685337,-89.51979665,Bar
133,University,Chick-fil-A,34.362625,-89.5634466,Fast Food Restaurant
134,University,Kabuki,34.36560918,-89.55296555,Sushi Restaurant
135,University,The Taco Shop (Mundo Latino),34.36322978,-89.50703244,Mexican Restaurant
136,University,Old Venice Pizza Co.,34.36598842,-89.51950414,Pizza Place
